"date_id","interaction_id","interaction_date","customer_id","first_name","last_name","full_name","city","state","postal_code","country","channel_id","channel_name","interaction_type","interaction_rating"
757,38112,"2022-01-26",75,Teresa,Barr,Teresa Barr,Lake Daniel,Maine,12671,Cuba,5,Telephone,Social Media,2
32,29216,"2020-02-01",77,Chad,Taylor,Chad Taylor,Lake Kimberly,Arkansas,80991,Costa Rica,4,ATM,In-Person,1
1375,37694,"2023-10-06",2,Christopher,Riley,Christopher Riley,Reynoldsville,Maryland,74865,Korea,4,ATM,Email,4
1802,56687,"2024-12-06",97,Jesse,George,Jesse George,West Robin,South Carolina,29481,Sierra Leone,4,ATM,Website,2
675,76877,"2021-11-05",51,Stanley,Mcpherson,Stanley Mcpherson,Joeside,Hawaii,16121,Iraq,2,Mobile App,Phone,1
809,35858,"2022-03-19",98,Jeff,Anderson,Jeff Anderson,East Dominiquestad,Kentucky,73343,French Polynesia,2,Mobile App,In-Person,1
960,26053,"2022-08-17",32,Bryan,Mitchell,Bryan Mitchell,Caseyville,New York,78190,Sierra Leone,5,Telephone,Phone,3
878,40740,"2022-05-27",32,Bryan,Mitchell,Bryan Mitchell,Caseyville,New York,78190,Namibia,1,Online,Website,1
1343,37573,"2023-09-04",36,Nancy,Lawrence,Nancy Lawrence,Newtonfort,Missouri,24470,Belarus,4,ATM,Email,1
1273,16539,"2023-06-26",71,Kathryn,Allen,Kathryn Allen,Lake Timothy,Kentucky,71464,Switzerland,2,Mobile App,Social Media,1
432,15057,"2021-03-07",47,Danny,Mccarthy,Danny Mccarthy,West John,Rhode Island,95552,Sweden,2,Mobile App,Phone,3
1172,57588,"2023-03-17",86,David,Ali,David Ali,Alanmouth,Vermont,98291,Christmas Island,3,In-Store,Email,1
306,6529,"2020-11-01",40,Karen,Cox,Karen Cox,Lake Jasonstad,Kentucky,51667,Saint Martin,1,Online,Email,5
920,82526,"2022-07-08",8,Richard,Christensen,Richard Christensen,Chadfort,Nebraska,87608,Belgium,1,Online,Email,3
682,31109,"2021-11-12",36,Nancy,Lawrence,Nancy Lawrence,Newtonfort,Missouri,24470,Svalbard & Jan Mayen Islands,3,In-Store,Phone,4
77,54992,"2020-03-17",50,Hannah,Hernandez,Hannah Hernandez,Frazierland,Connecticut,96248,Latvia,5,Telephone,Phone,3
1337,25599,"2023-08-29",50,Hannah,Hernandez,Hannah Hernandez,Frazierland,Connecticut,96248,Saint Martin,3,In-Store,Phone,1
679,94654,"2021-11-09",84,Jamie,Martinez,Jamie Martinez,Joeborough,Arizona,11261,Lebanon,1,Online,Social Media,3
804,6802,"2022-03-14",97,Jesse,George,Jesse George,West Robin,South Carolina,29481,Tokelau,3,In-Store,In-Person,1
1026,6612,"2022-10-22",46,David,Wilson,David Wilson,Colemantown,Idaho,37304,Cuba,2,Mobile App,Chat,1
1813,70414,"2024-12-17",69,Justin,Smith,Justin Smith,Jamesside,Oklahoma,39535,Svalbard & Jan Mayen Islands,4,ATM,Phone,3
1762,15663,"2024-10-27",60,Steven,Hernandez,Steven Hernandez,Melissaview,Tennessee,14193,Switzerland,4,ATM,Chat,2
1600,59963,"2024-05-18",23,Laura,Gutierrez,Laura Gutierrez,Keithtown,Georgia,54425,Lebanon,4,ATM,Phone,5
612,61348,"2021-09-03",26,Michael,Blackwell,Michael Blackwell,Perezville,Vermont,98578,Korea,2,Mobile App,In-Person,3
999,45916,"2022-09-25",56,Anita,Craig,Anita Craig,Port Bailey,Utah,19023,Sao Tome and Principe,4,ATM,Phone,4
1438,96639,"2023-12-08",85,Madison,Hopkins,Madison Hopkins,Lake Patricia,Colorado,38690,Madagascar,4,ATM,Chat,4
368,72435,"2021-01-02",69,Justin,Smith,Justin Smith,Jamesside,Oklahoma,39535,Belarus,1,Online,In-Person,3
1236,60578,"2023-05-20",83,Mary,Jenkins,Mary Jenkins,South Anthony,Wisconsin,84650,Palau,3,In-Store,Chat,3
1144,58582,"2023-02-17",62,Jasmine,Williams,Jasmine Williams,South Bryan,Georgia,76262,Cambodia,1,Online,Social Media,2
1265,3084,"2023-06-18",76,Deborah,Garner,Deborah Garner,Robertfort,Rhode Island,20644,Svalbard & Jan Mayen Islands,3,In-Store,Chat,1
980,47149,"2022-09-06",96,Christina,Krueger,Christina Krueger,Deborahfort,Louisiana,24644,Cuba,1,Online,Website,5
1224,41655,"2023-05-08",46,David,Wilson,David Wilson,Colemantown,Idaho,37304,Grenada,2,Mobile App,Website,2
625,44725,"2021-09-16",93,Danielle,Martinez,Danielle Martinez,Ericaberg,New Hampshire,68514,Switzerland,1,Online,In-Person,3
1214,90207,"2023-04-28",1,Angie,Hall,Angie Hall,Browntown,Wyoming,91934,Iraq,4,ATM,Website,5
638,92778,"2021-09-29",42,Gloria,Marshall,Gloria Marshall,West Paula,Alabama,14054,New Caledonia,1,Online,Chat,5
1097,33378,"2023-01-01",83,Mary,Jenkins,Mary Jenkins,South Anthony,Wisconsin,84650,Latvia,5,Telephone,Email,3
1638,28032,"2024-06-25",63,Sara,Maddox,Sara Maddox,Clarkville,Kentucky,94765,Sao Tome and Principe,3,In-Store,Phone,4
1223,1417,"2023-05-07",98,Jeff,Anderson,Jeff Anderson,East Dominiquestad,Kentucky,73343,Western Sahara,3,In-Store,Social Media,3
497,87879,"2021-05-11",80,Robert,Price,Robert Price,Lake Lynnside,California,90473,Grenada,3,In-Store,Email,1
330,56741,"2020-11-25",27,Brian,Garcia,Brian Garcia,Garrettshire,New York,11320,Lebanon,5,Telephone,Email,2
494,84076,"2021-05-08",55,Cole,Howard,Cole Howard,Bakerland,Delaware,6390,Aruba,2,Mobile App,Social Media,1
385,21259,"2021-01-19",19,Allen,Scott,Allen Scott,South Lisaton,Colorado,94602,Saudi Arabia,2,Mobile App,Chat,2
1777,5636,"2024-11-11",56,Anita,Craig,Anita Craig,Port Bailey,Utah,19023,Christmas Island,1,Online,Chat,1
760,27875,"2022-01-29",81,Benjamin,Koch,Benjamin Koch,East Michele,Virginia,80597,Belarus,1,Online,Phone,3
436,31531,"2021-03-11",44,Edward,Burke,Edward Burke,Wrightside,Nebraska,57279,Cuba,5,Telephone,Phone,3
1042,70037,"2022-11-07",66,James,Dixon,James Dixon,Jameschester,Iowa,91979,Korea,4,ATM,Website,2
1401,74159,"2023-11-01",22,Michael,Allison,Michael Allison,Yolandafurt,Mississippi,78654,Sao Tome and Principe,1,Online,Chat,5
1408,81412,"2023-11-08",31,Rachel,Blake,Rachel Blake,Sheilaberg,New York,40962,Nepal,1,Online,Social Media,2
1115,25811,"2023-01-19",54,Gavin,Morris,Gavin Morris,East Eric,Louisiana,56621,Madagascar,4,ATM,Social Media,3
583,66423,"2021-08-05",31,Rachel,Blake,Rachel Blake,Sheilaberg,New York,40962,Iraq,1,Online,Website,3
813,90760,"2022-03-23",67,James,Roth,James Roth,Ashleyview,Indiana,3397,Colombia,2,Mobile App,In-Person,1
751,13665,"2022-01-20",60,Steven,Hernandez,Steven Hernandez,Melissaview,Tennessee,14193,Saudi Arabia,4,ATM,Chat,3
867,82422,"2022-05-16",57,Jeffrey,Kelly,Jeffrey Kelly,Bradleyshire,New York,93159,New Caledonia,4,ATM,Social Media,4
618,44133,"2021-09-09",33,Anthony,Boyd,Anthony Boyd,Rossview,Washington,4552,Cook Islands,2,Mobile App,Email,1
737,82596,"2022-01-06",74,Nicole,Foster,Nicole Foster,West Teresaside,Nevada,62180,French Polynesia,5,Telephone,Phone,1
710,31689,"2021-12-10",89,Alexandra,Delacruz,Alexandra Delacruz,Jamesmouth,Washington,23597,Switzerland,1,Online,Chat,5
492,16438,"2021-05-06",11,Douglas,Wood,Douglas Wood,Ryanberg,Rhode Island,28377,Saint Martin,3,In-Store,Website,4
1424,53727,"2023-11-24",24,Alison,Sheppard,Alison Sheppard,Christineport,Ohio,90422,Saudi Arabia,2,Mobile App,Email,4
1374,14261,"2023-10-05",98,Jeff,Anderson,Jeff Anderson,East Dominiquestad,Kentucky,73343,Belarus,3,In-Store,Website,1
1070,55199,"2022-12-05",1,Angie,Hall,Angie Hall,Browntown,Wyoming,91934,Sao Tome and Principe,4,ATM,In-Person,1
608,38793,"2021-08-30",20,Virginia,Shea,Virginia Shea,Amandaburgh,South Carolina,6045,Saint Martin,1,Online,Email,4
253,67554,"2020-09-09",32,Bryan,Mitchell,Bryan Mitchell,Caseyville,New York,78190,Namibia,5,Telephone,Email,3
