"date_id","balance_id","balance_date","account_id","account_number","account_type","credit_score","currency_code","currency_name","opening_balance","closing_balance","average_balance"
1383,79422,"2023-10-14",50,7268934381,Savings,666,USD,Us Dollar,559715.13,889214.46,819922.175
1494,29997,"2024-02-02",23,3126616099,Savings,443,INR,Indian Rupee,815172.02,647373.08,599266.835
333,57331,"2020-11-28",89,2389511583,Savings,819,INR,Indian Rupee,625453.07,547677.53,608826.115
1228,43376,"2023-05-12",2,6556879216,Savings,462,USD,Us Dollar,279395.03,266449.64,709292.415
323,95541,"2020-11-18",3,4467657561,Checking,576,USD,Us Dollar,631103.56,471864.93,269698.615
319,28080,"2020-11-14",78,7718346871,Checking,775,USD,Us Dollar,540647.61,651496.01,280465.715
477,90578,"2021-04-21",89,2389511583,Savings,819,EUR,Euro,127501.15,492674.91,277403.495
309,4758,"2020-11-04",21,3221389644,Savings,600,USD,Us Dollar,278713.76,541370.47,459057.7
1054,55607,"2022-11-19",3,4467657561,Checking,576,EUR,Euro,588077.31,970853.9,845697.325
1272,85381,"2023-06-25",93,8902869633,Savings,721,USD,Us Dollar,605157.85,854775.81,916162.55
285,36641,"2020-10-11",53,9367791903,Investment,461,USD,Us Dollar,220381.24,690173.6,183261.79
964,85403,"2022-08-21",87,3297859812,Checking,628,USD,Us Dollar,188696.12,176392.32,771243.92
1209,2031,"2023-04-23",51,8023173848,Savings,789,INR,Indian Rupee,94310.49,476114.45,440112.14
135,4479,"2020-05-14",52,5623049910,Checking,438,USD,Us Dollar,509925.99,544163.86,362347.085
308,14269,"2020-11-03",89,2389511583,Savings,819,EUR,Euro,639608.16,396037.75,458490.73
401,20337,"2021-02-04",68,4155141978,Investment,700,USD,Us Dollar,898701.46,426178.67,689458.425
940,3682,"2022-07-28",88,5866494339,Investment,422,INR,Indian Rupee,195028.71,231909.13,472400.34
422,61066,"2021-02-25",63,7414476694,Checking,751,EUR,Euro,160320.31,591269.11,493663.02
365,18125,"2020-12-30",35,3938325125,Savings,653,USD,Us Dollar,689768.33,138475.81,533020.45
606,71298,"2021-08-28",10,2768618389,Savings,681,INR,Indian Rupee,866267.55,353044.36,220269.615
589,7462,"2021-08-11",26,5159171446,Savings,508,INR,Indian Rupee,642039.35,505518.34,654097.385
1311,33454,"2023-08-03",12,2552240900,Investment,553,USD,Us Dollar,609429.0,372857.27,488767.655
1098,30701,"2023-01-02",22,3816279528,Investment,674,EUR,Euro,709913.06,970108.47,453563.68
1132,75746,"2023-02-05",84,2835651681,Investment,828,EUR,Euro,309929.47,859105.94,87522.935
111,66507,"2020-04-20",46,2335408268,Checking,561,USD,Us Dollar,457138.41,442484.0,197080.6
847,46476,"2022-04-26",19,6221773017,Investment,476,EUR,Euro,129153.48,948619.66,673075.87
1728,58363,"2024-09-23",20,5244343629,Savings,800,USD,Us Dollar,699376.47,287073.56,857490.045
414,72769,"2021-02-17",51,8023173848,Savings,789,EUR,Euro,465355.53,656358.29,150124.485
