"date_id","investment_id","investment_date","account_number","account_type","credit_score","investment_type_id","investment_type_name","investment_amount","investment_return"
1695,28720,"2024-08-21",3221389644,Savings,600,4,Characterinvestment,3794.07,13087.5
1298,64293,"2023-07-21",4959466220,Investment,521,4,Characterinvestment,9945.92,6948.43
625,83150,"2021-09-16",7740150564,Investment,586,2,Helpinvestment,9291.08,8579.39
1049,9737,"2022-11-14",5002360478,Investment,467,1,Decadeinvestment,8064.51,6665.57
73,85530,"2020-03-13",9992038947,Investment,664,1,Decadeinvestment,1070.94,-4987.29
485,10743,"2021-04-29",7414476694,Checking,751,2,Helpinvestment,2968.25,14671.57
839,9710,"2022-04-18",8138063800,Savings,601,4,Characterinvestment,9361.93,-4801.89
1364,14501,"2023-09-25",2988264762,Checking,843,5,Musicinvestment,7660.04,13875.42
1600,83560,"2024-05-18",8185036628,Savings,709,2,Helpinvestment,8737.56,9912.03
1520,17227,"2024-02-28",6196253681,Savings,834,2,Helpinvestment,6642.82,4592.16
1815,58456,"2024-12-19",6684283366,Investment,776,3,Clearinvestment,3688.23,4586.99
1110,53644,"2023-01-14",8713903249,Investment,540,2,Helpinvestment,2903.5,7925.55
1441,90591,"2023-12-11",7850976653,Investment,698,1,Decadeinvestment,1895.69,12430.35
286,74003,"2020-10-12",8666354042,Savings,558,4,Characterinvestment,3279.22,3971.05
321,65686,"2020-11-16",2027696396,Investment,719,4,Characterinvestment,8467.77,-687.63
86,314,"2020-03-26",9846911760,Investment,728,5,Musicinvestment,8049.42,-1651.46
838,97502,"2022-04-17",3297859812,Checking,628,2,Helpinvestment,7878.81,3586.91
622,26356,"2021-09-13",8138063800,Savings,601,3,Clearinvestment,8090.23,11141.99
263,78901,"2020-09-19",6920920144,Checking,748,3,Clearinvestment,9560.71,11355.6
878,45090,"2022-05-27",8138063800,Savings,601,4,Characterinvestment,9102.0,3011.97
1662,92492,"2024-07-19",2743334768,Investment,398,5,Musicinvestment,5289.01,7854.46
1142,44119,"2023-02-15",7268934381,Savings,666,5,Musicinvestment,4710.09,-2065.25
94,2692,"2020-04-03",9139215473,Savings,443,1,Decadeinvestment,2035.86,12838.71
1477,15615,"2024-01-16",4155141978,Investment,700,5,Musicinvestment,1469.32,3647.51
411,39637,"2021-02-14",3297859812,Checking,628,1,Decadeinvestment,7951.39,6867.94
1585,64614,"2024-05-03",3302270666,Savings,726,5,Musicinvestment,2646.39,-1193.46
121,6670,"2020-04-30",5255412319,Savings,313,5,Musicinvestment,2160.92,14350.57
125,63968,"2020-05-04",8713903249,Investment,540,1,Decadeinvestment,7322.52,2494.71
1572,70429,"2024-04-20",5866494339,Investment,422,5,Musicinvestment,4683.34,13748.17
294,80523,"2020-10-20",7740150564,Investment,586,2,Helpinvestment,2033.14,609.99
665,92281,"2021-10-26",9543734386,Savings,612,5,Musicinvestment,7494.65,-1798.55
996,28764,"2022-09-22",2507273526,Savings,778,1,Decadeinvestment,4326.13,2876.22
1012,2199,"2022-10-08",5975269469,Checking,732,2,Helpinvestment,4095.76,7968.17
1057,69,"2022-11-22",1075123078,Savings,411,3,Clearinvestment,4827.89,770.02
902,10783,"2022-06-20",7414476694,Checking,751,4,Characterinvestment,3969.55,11354.46
940,73960,"2022-07-28",4095934095,Savings,315,5,Musicinvestment,4533.6,10981.31
1314,16178,"2023-08-06",1764838640,Investment,783,2,Helpinvestment,3695.4,3331.2
1268,24924,"2023-06-21",9641676419,Checking,792,3,Clearinvestment,6750.05,1362.32
128,70235,"2020-05-07",2971836125,Checking,359,2,Helpinvestment,9598.94,3377.7
1504,11099,"2024-02-12",2171840078,Savings,836,1,Decadeinvestment,5522.77,4179.46
800,83939,"2022-03-10",9287849202,Investment,790,5,Musicinvestment,9752.88,-2513.23
590,89163,"2021-08-12",6656233056,Investment,418,5,Musicinvestment,9307.49,1469.29
293,12943,"2020-10-19",9139215473,Savings,443,2,Helpinvestment,2281.65,-3477.73
820,35462,"2022-03-30",2171840078,Savings,836,2,Helpinvestment,2081.68,-2672.04
593,87917,"2021-08-15",3040393128,Checking,439,4,Characterinvestment,9939.66,-3018.74
1621,58548,"2024-06-08",5988217223,Checking,760,5,Musicinvestment,5868.42,6901.25
352,9220,"2020-12-17",9846911760,Investment,728,3,Clearinvestment,7373.65,-3147.79
1082,77508,"2022-12-17",1810851648,Savings,657,4,Characterinvestment,9836.47,10001.09
42,18111,"2020-02-11",3399529185,Savings,804,4,Characterinvestment,2382.39,-4125.17
1753,14930,"2024-10-18",4187234787,Savings,615,5,Musicinvestment,7038.7,13143.76
965,29709,"2022-08-22",3399529185,Savings,804,1,Decadeinvestment,5098.31,12218.2
1519,58700,"2024-02-27",9287849202,Investment,790,4,Characterinvestment,7266.13,7933.01
1099,25250,"2023-01-03",2387898494,Investment,827,5,Musicinvestment,5423.91,4709.97
371,35992,"2021-01-05",9287849202,Investment,790,1,Decadeinvestment,3796.97,2812.57
1114,77064,"2023-01-18",7718346871,Checking,775,4,Characterinvestment,1681.28,-206.1
766,41983,"2022-02-04",4596726978,Savings,593,4,Characterinvestment,3336.56,8113.79
315,55824,"2020-11-10",9992038947,Investment,664,5,Musicinvestment,4499.83,11790.1
1342,291,"2023-09-03",5623049910,Checking,438,2,Helpinvestment,1042.17,1578.2
1799,71562,"2024-12-03",6983934777,Investment,456,3,Clearinvestment,8202.59,9874.97
237,26116,"2020-08-24",9356198692,Savings,506,2,Helpinvestment,6247.22,8374.84
1030,8178,"2022-10-26",4155141978,Investment,700,2,Helpinvestment,4570.02,12097.89
845,73417,"2022-04-24",4959466220,Investment,521,3,Clearinvestment,1445.14,1679.08
1362,84686,"2023-09-23",6556879216,Savings,462,3,Clearinvestment,8599.3,11000.32
