"transaction_id","date_id","date","account_number","account_type","credit_score","transaction_type_name","currency_code","currency_name","channel_name","city","state","postal_code","country","transaction_amount","transaction_status"
62790,559,"2021-07-12",7493577945,Investment,678,Transfer,USD,Us Dollar,ATM,West Darryl,New Hampshire,88852,Colombia,8334.62,Pending
93780,944,"2022-08-01",8466553961,Checking,513,Deposit,EUR,Euro,In-Store,North Andrea,Illinois,70137,Grenada,4701.94,Failed
20289,410,"2021-02-13",7750543145,Savings,640,Deposit,USD,Us Dollar,Mobile App,Lake Charlestown,Georgia,93217,Denmark,4564.95,Completed
79979,632,"2021-09-23",6440589972,Investment,338,Withdrawal,INR,Indian Rupee,Telephone,Pamelaland,New York,8904,Cook Islands,9849.24,Completed
83446,823,"2022-04-02",9641676419,Checking,792,Transfer,INR,Indian Rupee,In-Store,East Alisonton,Indiana,67046,South Africa,489.81,Pending
65363,1406,"2023-11-06",5646590499,Investment,814,Deposit,EUR,Euro,ATM,Port Meagan,Alabama,43600,Netherlands Antilles,1999.7,Failed
5593,348,"2020-12-13",1210678639,Investment,518,Payment,EUR,Euro,ATM,Port Melissa,Alabama,50584,Saudi Arabia,9874.01,Completed
69109,696,"2021-11-26",2835651681,Investment,828,Deposit,USD,Us Dollar,ATM,North Andrea,Illinois,70137,Grenada,4442.24,Failed
39578,608,"2021-08-30",8466553961,Checking,513,Deposit,EUR,Euro,ATM,Port Misty,Delaware,32818,Belarus,8128.34,Completed
21056,515,"2021-05-29",9356198692,Savings,506,Withdrawal,USD,Us Dollar,Online,East Alisonton,Indiana,67046,South Africa,529.99,Pending
37095,524,"2021-06-07",8713903249,Investment,540,Deposit,INR,Indian Rupee,ATM,Lake Charlestown,Georgia,93217,Denmark,7345.45,Failed
33327,569,"2021-07-22",9367791903,Investment,461,Withdrawal,INR,Indian Rupee,Telephone,Staceyborough,Iowa,41220,Saint Martin,1867.62,Failed
16812,1674,"2024-07-31",3126616099,Savings,443,Withdrawal,USD,Us Dollar,Online,New Austin,Alabama,39336,Cook Islands,4495.39,Pending
15886,1471,"2024-01-10",7413651771,Checking,442,Transfer,EUR,Euro,ATM,Jacksonchester,Wisconsin,72317,Namibia,5741.65,Pending
90764,558,"2021-07-11",1764838640,Investment,783,Payment,USD,Us Dollar,ATM,Staceyborough,Iowa,41220,Saint Martin,9185.53,Pending
99197,1737,"2024-10-02",1810851648,Savings,657,Deposit,EUR,Euro,Telephone,North Andrea,Illinois,70137,Grenada,6867.32,Pending
40616,1680,"2024-08-06",9992038947,Investment,664,Payment,INR,Indian Rupee,Mobile App,Lake Charlestown,Georgia,93217,Denmark,3972.01,Completed
68184,1640,"2024-06-27",5975269469,Checking,732,Transfer,INR,Indian Rupee,Mobile App,Delgadoland,Illinois,46645,Belgium,1753.09,Failed
